Timestamp,What is your learning style?,Which department and course numbers (e.g. Stat 157)?
9/4/2013 20:48:39,,
9/4/2013 21:48:39,"Your scores were:

Visual: 3
Aural: 5
Read/Write: 4
Kinesthetic: 7

You have a mild Kinesthetic learning preference.","Stat 133, 134, 135, CS 61a"
9/4/2013 21:48:45,I have a multimodal (VAK) learning preference.,"stat 134, 135, 133; CS 198"
9/4/2013 21:54:32,"Your scores were:

Visual: 0
Aural: 10
Read/Write: 14
Kinesthetic: 5

You have a mild Read/Write learning preference.","Stat 133, Stat 134, Stat 135"
9/4/2013 21:55:47,"Your scores were:
Visual: 9
Aural: 9
Read/Write: 3
Kinesthetic: 3
You have a multimodal (VA) learning preference.","Stat 133, 134, 135, and URAP"
9/4/2013 21:58:02,kinematic,"stat133, cs188"
9/4/2013 21:59:34,"Your scores were:

Visual: 8
Aural: 7
Read/Write: 8
Kinesthetic: 5",Stat 133
9/4/2013 22:09:21,"Your scores were:
Visual: 8
Aural: 1
Read/Write: 8
Kinesthetic: 5

You have a multimodal (VR) learning preference.
multimodal
visual
read-write","Stat 133, 134, 135, 158"
9/4/2013 22:11:05,Practice the problems by myself and compare with friends.,Stat 157
9/4/2013 22:25:31,"The VARK Questionnaire Results

Your scores were:

Visual: 13
Aural: 10
Read/Write: 8
Kinesthetic: 11","Statistics 133, 134, 135, 155, 158; Civil Eng 167, UGBA"
9/4/2013 22:25:39,"Your scores were:

Visual: 10
Aural: 4
Read/Write: 5
Kinesthetic: 10","Stat 133, Stat 134, Stat 135"
9/4/2013 22:31:26,"Difficult team projects, where the only way to survive is by working with each other.",
9/4/2013 22:36:10,"The VARK Questionnaire Results

Your scores were:

Visual: 15
Aural: 9
Read/Write: 6
Kinesthetic: 11

You have a multimodal (VARK) learning preference.","Stat 133, Stat 154"
9/4/2013 22:48:54,"I personally don't like mid term and final.
Rather, I like project. 
Also, weekly assignment will help me to learn a lot. 
",Stat 154
9/4/2013 22:52:30,"Visual: 5
Aural: 1
Read/Write: 4
Kinesthetic: 6","Stat 133, Stat 134, Econ 140, CS10"
9/4/2013 23:07:21,"Your scores were:

Visual: 3
Aural: 6
Read/Write: 6
Kinesthetic: 7

You have a multimodal (ARK) learning preference.","Stat 133, Stat 134, Stat 135"
9/4/2013 23:12:28,,"stat 133,134,135"
9/4/2013 23:16:01,"Your scores were:
Visual: 10
Aural: 10
Read/Write: 2
Kinesthetic: 13

 You have a multimodal (VAK) learning preference.


 
 ",
9/4/2013 23:27:58,"Visual: 4
Aural: 3
Read/Write: 1
Kinesthetic: 8

You have a strong Kinesthetic learning preference.",stat 157
9/4/2013 23:48:06,"Your scores were:

Visual: 4
Aural: 3
Read/Write: 11
Kinesthetic: 4","Stat 134, 135"
9/5/2013 0:12:36,"Visual: 11
Aural: 11
Read/Write: 6
Kinesthetic: 9","Stat 20, Stat 133, Stat 134, Stat135"
9/5/2013 0:12:55,"Visual: 4
Aural: 4
Read/Write: 7
Kinesthetic: 1","Stat 133, Stat 134, Stat 135, CS 61A"
9/5/2013 0:17:01,"Your scores were:

Visual: 9
Aural: 7
Read/Write: 10
Kinesthetic: 12

You have a multimodal (VARK) learning preference.","CS 61{A,B,C}, CS 70, CS 188"
9/5/2013 0:20:20,"Your scores were:

Visual: 10
Aural: 7
Read/Write: 11
Kinesthetic: 7","Stat 133, Stat 134, Media Studies 10"
9/5/2013 0:30:46,"You are helping someone who wants to go to your airport, the center of town or railway station. You would:
write down the directions.
draw, or show her a map, or give her a map.

You have finished a competition or test and would like some feedback. You would like to have feedback:
using examples from what you have done.
from somebody who talks it through with you.
using a written description of your results.

You want to learn a new program, skill or game on a computer. You would:
talk with people who know about the program.
use the controls or keyboard.
follow the diagrams in the book that came with it.

I like websites that have:
things I can click on, shift or try.
interesting written descriptions, lists and explanations.
interesting design and visual features.

You are planning a vacation for a group. You want some feedback from them about the plan. You would:
describe some of the highlights they will experience.
phone, text or email them.

You are not sure whether a word should be spelled `dependent' or `dependant'. You would:
find it online or in a dictionary.

You are going to cook something as a special treat. You would:
cook something you know without the need for instructions.
look on the Internet or in some cookbooks for ideas from the pictures.

You are going to choose food at a restaurant or cafe. You would:
choose from the descriptions in the menu.
listen to the waiter or ask friends to recommend choices.
choose something that you have had there before.

You have a problem with your heart. You would prefer that the doctor:
used a plastic model to show what was wrong.
gave you something to read to explain what was wrong.
described what was wrong.

Remember a time when you learned how to do something new. Avoid choosing a physical skill, eg. riding a bike. You learned best by:
watching a demonstration.
written instructions e.g. a manual or book.
listening to somebody explaining it and asking questions.

Other than price, what would most influence your decision to buy a new non-fiction book?
A friend talks about it and recommends it.

You are using a book, CD or website to learn how to take photos with your new digital camera. You would like to have:
clear written instructions with lists and bullet points about what to do.
diagrams showing the camera and what each part does.

You are about to purchase a digital camera or mobile phone. Other than price, what would most influence your decision?
Trying or testing it
Reading the details or checking its features online.

Do you prefer a teacher or a presenter who uses:
demonstrations, models or practical sessions.
question and answer, talk, group discussion, or guest speakers.
diagrams, charts or graphs.

A group of tourists wants to learn about the parks or wildlife reserves in your area. You would:
talk about, or arrange a talk for them about parks or wildlife reserves.
take them to a park or wildlife reserve and walk with them.

You have to make an important speech at a conference or special occasion. You would:
write a few key words and practice saying your speech over and over.
write out your speech and learn from reading it over several times.
","CS61A, CS61B, stat133,stat 134, stat135"
9/5/2013 0:34:26,"Your scores were:

Visual: 9
Aural: 8
Read/Write: 10
Kinesthetic: 11","CS 70, Stat 134"
9/5/2013 0:42:52,"Your scores were:

Visual: 7
Aural: 11
Read/Write: 4
Kinesthetic: 8

You have a multimodal (VARK) learning preference.","Stat 134, Stat 135"
9/5/2013 1:15:42,,CS61A/C
9/5/2013 8:47:57,Read/Write,"Stat 133, 134, 135"
9/5/2013 9:43:34,"    Visual: 6
    Aural: 4
    Read/Write: 7
    Kinesthetic: 5
","stat 134, cs169, cs61c"
9/5/2013 9:58:54,"Your scores were:

Visual: 6
Aural: 5
Read/Write: 7
Kinesthetic: 5","stat 133/134/135/158, CS 61A"
9/5/2013 10:00:28,"Visual: 5
Aural: 3
Read/Write: 9
Kinesthetic: 6",Stat 133 134 135
9/5/2013 10:07:36,"Visual - 11
Kinesthetic - 11
Reading/Writing - 9
Aural - 5","CS9H, Stat 134, Stat 155"
9/5/2013 10:24:43,visual learning and hands-on learning,stat133
9/5/2013 12:00:19,"Your scores were:

Visual: 12
Aural: 10
Read/Write: 13
Kinesthetic: 10
You have a multimodal (VARK) learning preference.",Stat 134
9/5/2013 13:15:01,,
9/5/2013 15:59:45,,"Stat 133,134,135"
9/5/2013 16:41:20,"Your scores were:

    Visual: 2
    Aural: 3
    Read/Write: 6
    Kinesthetic: 5

You have a multimodal (RK) learning preference.","CS188, CS162, CS176, STAT133, STAT134, STAT135"
9/6/2013 22:17:11,"    Visual: 1
    Aural: 4
    Read/Write: 4
    Kinesthetic: 7
",
9/10/2013 9:49:46,,Stat 157
9/26/2013 20:18:15,"Your scores were:

Visual: 9
Aural: 7
Read/Write: 5
Kinesthetic: 5
","Stat 134, Stat 135"
9/27/2013 11:40:22,I learn by doing.,Stat 134
9/30/2013 17:54:53,hands on project and lecture,stat133 stat134 stat155 cs61 series cs188 cs169
9/30/2013 21:40:24,,"stat 133,134,135"
9/30/2013 22:02:12,"Your scores were:

Visual: 9
Aural: 10
Read/Write: 10
Kinesthetic: 9",Math 128a
9/30/2013 22:31:25,"You have a multimodal (VAK) learning preference.

Your scores were:

Visual: 9
Aural: 11
Read/Write: 3
Kinesthetic: 8","Stat 135, 133, & 134"
9/30/2013 23:46:20,"You have a multimodal (VARK) learning preference.
Your scores were:
Visual: 7
Aural: 8
Read/Write: 9
Kinesthetic: 10",Stat 133
10/1/2013 1:16:00,"The VARK Questionnaire Results

Your scores were:

Visual: 2
Aural: 6
Read/Write: 4
Kinesthetic: 4
You can find more information about your learning preferences in our downloadable book:

How Do I Learn Best? 
a student's guide to improved learning

More Information...

You have a mild Aural learning preference.

Use the following helpsheets for study strategies that apply to your learning preference:

aural",Stat 157
